epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3029,1.2569,3.616,1.38426,0.00968,0.54887,0.18187,0.12825,0.77128,3.3703,1.09969,7.145e-05,7.145e-05,7.145e-05
2,76.5171,1.10655,3.2105,1.21353,0.01101,0.6317,0.24598,0.18316,0.81489,3.23135,1.12433,0.000155634,0.000155634,0.000155634
3,107.109,1.06692,2.37036,1.16151,0.82049,0.24444,0.30582,0.24231,0.79683,2.92451,1.15845,0.00023812,0.00023812,0.00023812
4,137.765,1.02309,2.12448,1.14095,0.11437,0.73427,0.32976,0.26429,0.80695,2.8465,1.14332,0.000318909,0.000318909,0.000318909
5,168.977,1.02447,1.98382,1.12932,1,0.15506,0.33206,0.26553,0.9424,2.84504,1.211,0.000397999,0.000397999,0.000397999
6,200.912,0.96596,1.74421,1.08582,0.9639,0.13333,0.30435,0.22995,1.08534,2.97037,1.35282,0.000475393,0.000475393,0.000475393
7,238.892,0.92516,1.59817,1.05579,0.68031,0.09454,0.37604,0.27663,1.04782,2.98679,1.3589,0.000551088,0.000551088,0.000551088
8,273.162,0.93677,1.57301,1.0801,0.44431,0.22795,0.39268,0.26046,1.04902,2.76169,1.34315,0.000625086,0.000625086,0.000625086
9,302.795,0.95185,1.56149,1.06008,0.6223,0.28809,0.41879,0.29096,1.08319,2.54629,1.35585,0.000697386,0.000697386,0.000697386
10,332.278,0.92674,1.4822,1.04844,0.57013,0.4331,0.44796,0.31805,1.1133,2.4317,1.30754,0.000767989,0.000767989,0.000767989
11,361.933,0.91028,1.37112,1.03292,0.59153,0.37204,0.46307,0.3343,1.09495,2.51265,1.35669,0.000836894,0.000836894,0.000836894
12,390.833,0.9206,1.34203,1.06211,0.43855,0.36162,0.38314,0.26145,1.08562,2.59541,1.32683,0.000904101,0.000904101,0.000904101
13,420.492,0.88539,1.32437,1.03097,0.5263,0.43006,0.40302,0.28143,1.1583,2.73622,1.33533,0.000969611,0.000969611,0.000969611
14,449.136,0.93289,1.28266,1.05536,0.29197,0.41554,0.2908,0.20881,1.1919,3.10583,1.47946,0.00103342,0.00103342,0.00103342
15,478.182,0.8856,1.18867,1.02894,0.26269,0.49169,0.33996,0.25013,1.21931,2.86964,1.53343,0.00109554,0.00109554,0.00109554
16,507.613,0.83289,1.13668,1.01689,0.51714,0.47678,0.48468,0.34616,1.29819,2.49249,1.45031,0.00115595,0.00115595,0.00115595
17,541.377,0.86015,1.13634,1.02688,0.59591,0.40008,0.49236,0.33713,1.28675,2.44663,1.47892,0.00120265,0.00120265,0.00120265
18,573.094,0.88061,1.14021,1.03292,0.76097,0.23107,0.34177,0.21744,1.25471,2.44744,1.49359,0.0011885,0.0011885,0.0011885
19,604.225,0.84218,1.06526,1.00304,0.24904,0.26061,0.29907,0.19378,1.25902,2.40061,1.50564,0.00117435,0.00117435,0.00117435
20,635.614,0.81314,1.04394,0.99959,0.49775,0.25936,0.34153,0.22501,1.26027,2.22054,1.48269,0.00116021,0.00116021,0.00116021
21,666.417,0.81859,1.05072,1.01182,0.33341,0.49262,0.38175,0.25928,1.19314,2.17659,1.48784,0.00114606,0.00114606,0.00114606
22,696.77,0.82663,1.01275,0.99664,0.44849,0.42477,0.46194,0.31181,1.1911,2.16236,1.47789,0.00113191,0.00113191,0.00113191
23,725.82,0.80288,1.01004,1.01759,0.41239,0.40298,0.34179,0.21669,1.29221,2.49553,1.52575,0.00111776,0.00111776,0.00111776
24,754.704,0.79052,0.94098,0.98016,0.24815,0.28361,0.3081,0.21866,1.21144,2.71024,1.38156,0.00110362,0.00110362,0.00110362
25,783.41,0.80959,0.90968,0.97134,0.32509,0.40699,0.39051,0.25442,1.27339,2.60185,1.41592,0.00108947,0.00108947,0.00108947
26,812.752,0.81336,0.98045,0.99764,0.42951,0.32554,0.38333,0.26067,1.31384,2.83899,1.51111,0.00107532,0.00107532,0.00107532
27,843.82,0.75197,0.95477,0.97401,0.3477,0.4373,0.43184,0.30939,1.2283,2.69439,1.4078,0.00106118,0.00106118,0.00106118
28,873.56,0.7479,0.88531,0.96965,0.44921,0.59756,0.53638,0.3731,1.05354,2.1139,1.34145,0.00104703,0.00104703,0.00104703
29,903.185,0.80827,0.9614,0.99376,0.58009,0.6681,0.54962,0.38476,0.99183,2.12175,1.31194,0.00103288,0.00103288,0.00103288
30,932.203,0.71293,0.82309,0.96647,0.61787,0.59643,0.57222,0.40517,0.9872,1.86785,1.29044,0.00101873,0.00101873,0.00101873
